t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
100,4.745914741,5.994050250000001,22.968940549,7.10248989,27.18755177,13.53471348,20.640123419,2.29930449,41.185916804,12.269817869999999
101,4.069946474,5.8771542000000006,22.292264865,7.34165142,27.736627532,13.738147770000001,23.215193889,2.79423873,41.605527386,13.07262837
102,3.198016134,5.88076668,21.629952668,7.435555770000001,28.021841267000003,13.71517542,25.003534061,3.27996018,42.184846033,13.61080182
103,3.077170986,4.831804259999999,21.126220402,7.55986098,27.449387011,14.944202879999999,26.486414110000002,4.54638831,42.141819439,14.877229920000001
104,2.480337104,3.83261745,19.770676999,7.6430098200000005,26.566083831,16.21063101,27.000591284000002,5.81281641,42.068703862999996,16.143658050000003
105,2.3295376620000003,3.30498768,18.568468686000003,7.54624515,25.671111961,17.47705914,27.180661637,7.00244757,41.994241895,17.41008618
106,2.309320676,3.0800992799999998,17.353604459,7.37724237,24.9722471,18.44933184,27.224043251,7.88078517,41.543717916,18.47771343
107,2.233745092,2.96182008,16.218286062,7.1849139,24.544240844,18.95059476,27.208482212,8.44102857,41.073230161999994,18.99838542
108,2.087275125,2.88595695,15.14497691,7.002535109999999,24.298431157,19.194692370000002,27.213065996,8.79770676,40.871073904999996,19.21152309
109,1.8688259509999998,2.82217377,14.120522109000001,6.86396025,24.185445493,19.32183372,27.166759737,9.01014696,40.443395707,19.3130592
110,1.633463917,2.76064581,16.253412363,6.68808849,24.027356673,19.355532959999998,26.975099811,10.276575059999999,40.620824211,19.402990980000002
111,1.434052355,2.68862385,18.386302617000002,6.46485903,23.578412594,19.37318739,26.276842693,11.121631260000001,41.091666314,19.54809297
112,1.143016536,2.63883948,19.755499772,6.23547543,23.001763307,19.29564267,25.517383238,11.44997427,41.347159872999995,19.72028901
113,0.8797866520000001,2.6176689,20.342890671,5.98721907,22.406219026000002,19.344619350000002,24.974368497,11.58071643,41.715464819,19.90129152
114,0.668562562,3.1409126699999996,20.587407585,5.73419544,21.888652021,19.37689971,24.54977757,11.73941292,42.109026876,20.0751009
115,0.425610237,2.80229955,20.593801605000003,5.56409781,22.637291601,19.27707003,24.351087455,12.02164761,42.844241027,20.02299549
116,0.23770961899999998,2.70189663,20.667337715,5.470423739999999,23.07057271,19.366649549999998,24.261007718,12.25662534,43.304313519,20.03767317
117,0.118055008,2.68072509,20.694211936,5.32464633,23.345580779000002,19.41597042,24.198741724,12.54488349,44.019648685,20.17737372
118,0.030805915000000003,3.20434707,18.561321682000003,5.11587462,21.212690525,19.54444023,24.538381977,11.27845536,45.246827714,18.91094559
119,0.0,2.85394938,16.428431428,4.93063446,19.079800271,19.591025610000003,24.930985175,10.085926409999999,47.351178935,17.64451749
